Extract.Date,CCG.Code,CCG.Name,Breakdown.Field,Breakdown.Value,Patient.Count,CCG20CD,pop19
12/03/2021,07H,NHS West Essex CCG,Disease Group,Added by COVID-19 Population Risk Assessment,7140,E38000197,310040
12/03/2021,07K,NHS West Suffolk CCG,Disease Group,Added by COVID-19 Population Risk Assessment,5100,E38000204,231706
12/03/2021,07L,NHS Barking and Dagenham CCG,Disease Group,Added by COVID-19 Population Risk Assessment,9535,E38000004,212906
12/03/2021,07P,NHS Brent CCG,Disease Group,Added by COVID-19 Population Risk Assessment,16280,E38000020,329771
12/03/2021,07T,NHS City and Hackney CCG,Disease Group,Added by COVID-19 Population Risk Assessment,12955,E38000035,290841
12/03/2021,07W,NHS Ealing CCG,Disease Group,Added by COVID-19 Population Risk Assessment,15310,E38000048,341806
12/03/2021,07Y,NHS Hounslow CCG,Disease Group,Added by COVID-19 Population Risk Assessment,8885,E38000084,271523
12/03/2021,08C,NHS Hammersmith and Fulham CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6160,E38000070,185143
12/03/2021,08E,NHS Harrow CCG,Disease Group,Added by COVID-19 Population Risk Assessment,10435,E38000074,251160
12/03/2021,08F,NHS Havering CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6285,E38000077,259552
12/03/2021,08G,NHS Hillingdon CCG,Disease Group,Added by COVID-19 Population Risk Assessment,9650,E38000082,306870
12/03/2021,08M,NHS Newham CCG,Disease Group,Added by COVID-19 Population Risk Assessment,21820,E38000113,353134
12/03/2021,08N,NHS Redbridge CCG,Disease Group,Added by COVID-19 Population Risk Assessment,13255,E38000138,305222
12/03/2021,08V,NHS Tower Hamlets CCG,Disease Group,Added by COVID-19 Population Risk Assessment,17780,E38000186,324745
12/03/2021,08W,NHS Waltham Forest CCG,Disease Group,Added by COVID-19 Population Risk Assessment,10620,E38000192,276983
12/03/2021,08Y,NHS West London CCG,Disease Group,Added by COVID-19 Population Risk Assessment,7700,E38000202,227412
12/03/2021,09A,NHS Central London (Westminster) CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6050,E38000031,190034
12/03/2021,09D,NHS Brighton and Hove CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6720,E38000021,290885
12/03/2021,10C,NHS Surrey Heath CCG,Disease Group,Added by COVID-19 Population Risk Assessment,2145,E38000178,96564
12/03/2021,10J,NHS North Hampshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,3820,E38000120,225387
12/03/2021,10K,NHS Fareham and Gosport CCG,Disease Group,Added by COVID-19 Population Risk Assessment,4860,E38000059,201071
12/03/2021,10L,NHS Isle of Wight CCG,Disease Group,Added by COVID-19 Population Risk Assessment,4295,E38000087,141771
12/03/2021,10Q,NHS Oxfordshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,14625,E38000136,676171
12/03/2021,10R,NHS Portsmouth CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6455,E38000137,214905
12/03/2021,10V,NHS South Eastern Hampshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,4925,E38000154,217701
12/03/2021,10X,NHS Southampton CCG,Disease Group,Added by COVID-19 Population Risk Assessment,5240,E38000167,252520
12/03/2021,11A,NHS West Hampshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,11385,E38000198,570799
12/03/2021,11J,NHS Dorset CCG,Disease Group,Added by COVID-19 Population Risk Assessment,20505,E38000045,773839
12/03/2021,11M,NHS Gloucestershire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,13895,E38000062,637070
12/03/2021,11N,NHS Kernow CCG,Disease Group,Added by COVID-19 Population Risk Assessment,13350,E38000089,571802
12/03/2021,11X,NHS Somerset CCG,Disease Group,Added by COVID-19 Population Risk Assessment,12330,E38000150,562225
12/03/2021,12F,NHS Wirral CCG,Disease Group,Added by COVID-19 Population Risk Assessment,7935,E38000208,324011
12/03/2021,13T,NHS Newcastle Gateshead CCG,Disease Group,Added by COVID-19 Population Risk Assessment,14110,E38000212,504875
12/03/2021,14L,NHS Manchester CCG,Disease Group,Added by COVID-19 Population Risk Assessment,20055,E38000217,552858
12/03/2021,14Y,NHS Buckinghamshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,12230,E38000223,546626
12/03/2021,15A,NHS Berkshire West CCG,Disease Group,Added by COVID-19 Population Risk Assessment,10315,E38000221,491349
12/03/2021,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",Disease Group,Added by COVID-19 Population Risk Assessment,22570,E38000222,963522
12/03/2021,15D,NHS East Berkshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,13170,E38000224,436701
12/03/2021,15E,NHS Birmingham and Solihull CCG,Disease Group,Added by COVID-19 Population Risk Assessment,45045,E38000220,1180567
12/03/2021,15F,NHS Leeds CCG,Disease Group,Added by COVID-19 Population Risk Assessment,17445,E38000225,793139
12/03/2021,15M,NHS Derby and Derbyshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,26085,E38000229,1026426
12/03/2021,15N,NHS Devon CCG,Disease Group,Added by COVID-19 Population Risk Assessment,30240,E38000230,1200739
12/03/2021,16C,NHS Tees Valley CCG,Disease Group,Added by COVID-19 Population Risk Assessment,17780,E38000247,675944
12/03/2021,18C,NHS Herefordshire and Worcestershire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,17435,E38000236,788587
12/03/2021,26A,NHS Norfolk and Waveney CCG,Disease Group,Added by COVID-19 Population Risk Assessment,24980,E38000239,1026193
12/03/2021,27D,NHS Cheshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,14415,E38000233,727223
12/03/2021,36J,NHS Bradford District and Craven CCG,Disease Group,Added by COVID-19 Population Risk Assessment,20795,E38000232,590901
12/03/2021,36L,NHS South West London CCG,Disease Group,Added by COVID-19 Population Risk Assessment,46120,E38000245,1504810
12/03/2021,42D,NHS North Yorkshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,10130,E38000241,428231
12/03/2021,52R,NHS Nottingham and Nottinghamshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,28310,E38000243,1043665
12/03/2021,70F,NHS West Sussex CCG,Disease Group,Added by COVID-19 Population Risk Assessment,22850,E38000248,857166
12/03/2021,71E,NHS Lincolnshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,18910,E38000238,761224
12/03/2021,72Q,NHS South East London CCG,Disease Group,Added by COVID-19 Population Risk Assessment,66820,E38000244,1819271
12/03/2021,78H,NHS Northamptonshire CCG,Disease Group,Added by COVID-19 Population Risk Assessment,18140,E38000242,736219
12/03/2021,84H,NHS County Durham CCG,Disease Group,Added by COVID-19 Population Risk Assessment,12135,E38000234,530094
12/03/2021,91Q,NHS Kent and Medway CCG,Disease Group,Added by COVID-19 Population Risk Assessment,39920,E38000237,1860111
12/03/2021,92A,NHS Surrey Heartlands CCG,Disease Group,Added by COVID-19 Population Risk Assessment,23000,E38000246,1049170
12/03/2021,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Disease Group,Added by COVID-19 Population Risk Assessment,20450,E38000231,921917
12/03/2021,93C,NHS North Central London CCG,Disease Group,Added by COVID-19 Population Risk Assessment,53810,E38000240,1510806
12/03/2021,97R,NHS East Sussex CCG,Disease Group,Added by COVID-19 Population Risk Assessment,16190,E38000235,557229
12/03/2021,99A,NHS Liverpool CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6940,E38000101,498042
12/03/2021,99C,NHS North Tyneside CCG,Disease Group,Added by COVID-19 Population Risk Assessment,4780,E38000127,207913
12/03/2021,99E,NHS Basildon and Brentwood CCG,Disease Group,Added by COVID-19 Population Risk Assessment,6385,E38000007,264220
12/03/2021,99F,NHS Castle Point and Rochford CCG,Disease Group,Added by COVID-19 Population Risk Assessment,3275,E38000030,177744
12/03/2021,99G,NHS Southend CCG,Disease Group,Added by COVID-19 Population Risk Assessment,5590,E38000168,183125
12/03/2021,99M,NHS North East Hampshire and Farnham CCG,Disease Group,Added by COVID-19 Population Risk Assessment,4845,E38000118,211709
06/03/2021,ENG,ENGLAND,ALL,ALL,3792602,,56286961
06/03/2021,ENG,ENGLAND,Age,0-17,53418,,56286961
06/03/2021,ENG,ENGLAND,Age,18-29,165986,,56286961
06/03/2021,ENG,ENGLAND,Age,30-39,330640,,56286961
06/03/2021,ENG,ENGLAND,Age,40-49,430199,,56286961
06/03/2021,ENG,ENGLAND,Age,50-59,574547,,56286961
06/03/2021,ENG,ENGLAND,Age,60-69,580683,,56286961
06/03/2021,ENG,ENGLAND,Age,70-79,699914,,56286961
06/03/2021,ENG,ENGLAND,Age,80-89,688282,,56286961
06/03/2021,ENG,ENGLAND,Age,90+,268932,,56286961
06/03/2021,ENG,ENGLAND,Gender,Female,1981884,,56286961
06/03/2021,ENG,ENGLAND,Gender,Male,1810585,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Transplants (Solid),55880,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Cancer (Solid with Chemotherapy),125894,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Cancer (Lung with Radical Radiotherapy),2976,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Cancer (Haematological within 24 months),194028,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Transplants (Haematological within 6 months),2284,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Transplants (Haematological with Immunosuppression),805,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Respiratory (Severe Asthma),186592,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Respiratory (Severe COPD),544059,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Respiratory (Severe Permanent),125369,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Corticosteroid Safety Card,1587,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Rare genetic metabolic and autoimmune diseases,354347,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Immunosuppression Therapy,117678,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Pregnant with Congenital Heart Defect,4784,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Learning Disabilities,24799,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Chronic Kidney Disease,61823,,56286961
06/03/2021,ENG,ENGLAND,Disease Group,Added by COVID-19 Population Risk Assessment,1520285,,56286961
06/03/2021,00L,NHS Northumberland CCG,ALL,ALL,22110,E38000130,322434
06/03/2021,00N,NHS South Tyneside CCG,ALL,ALL,11735,E38000163,150976
06/03/2021,00P,NHS Sunderland CCG,ALL,ALL,20545,E38000176,277705
06/03/2021,00Q,NHS Blackburn with Darwen CCG,ALL,ALL,10955,E38000014,149696
06/03/2021,00R,NHS Blackpool CCG,ALL,ALL,11455,E38000015,139446
06/03/2021,00T,NHS Bolton CCG,ALL,ALL,24730,E38000016,287550
06/03/2021,00V,NHS Bury CCG,ALL,ALL,13915,E38000024,190990
06/03/2021,00X,NHS Chorley and South Ribble CCG,ALL,ALL,9565,E38000034,178547
06/03/2021,00Y,NHS Oldham CCG,ALL,ALL,17600,E38000135,237110
06/03/2021,01A,NHS East Lancashire CCG,ALL,ALL,24360,E38000050,382746
06/03/2021,01D,"NHS Heywood, Middleton and Rochdale CCG",ALL,ALL,15595,E38000080,222412
06/03/2021,01E,NHS Greater Preston CCG,ALL,ALL,11625,E38000227,203825
06/03/2021,01F,NHS Halton CCG,ALL,ALL,9455,E38000068,129410
06/03/2021,01G,NHS Salford CCG,ALL,ALL,18355,E38000143,258834
06/03/2021,01H,NHS North Cumbria CCG,ALL,ALL,21045,E38000215,319371
06/03/2021,01J,NHS Knowsley CCG,ALL,ALL,13060,E38000091,150862
06/03/2021,01K,NHS Morecambe Bay CCG,ALL,ALL,22710,E38000228,332696
06/03/2021,01T,NHS South Sefton CCG,ALL,ALL,16290,E38000161,160226
06/03/2021,01V,NHS Southport and Formby CCG,ALL,ALL,10895,E38000170,116184
06/03/2021,01W,NHS Stockport CCG,ALL,ALL,18420,E38000174,293423
06/03/2021,01X,NHS St Helens CCG,ALL,ALL,15605,E38000172,180585
06/03/2021,01Y,NHS Tameside and Glossop CCG,ALL,ALL,18640,E38000182,260063
06/03/2021,02A,NHS Trafford CCG,ALL,ALL,14620,E38000187,237354
06/03/2021,02E,NHS Warrington CCG,ALL,ALL,13070,E38000194,210014
06/03/2021,02G,NHS West Lancashire CCG,ALL,ALL,7430,E38000200,114306
06/03/2021,02H,NHS Wigan Borough CCG,ALL,ALL,21570,E38000205,328662
06/03/2021,02M,NHS Fylde and Wyre CCG,ALL,ALL,13280,E38000226,194337
06/03/2021,02P,NHS Barnsley CCG,ALL,ALL,17345,E38000006,246866
06/03/2021,02Q,NHS Bassetlaw CCG,ALL,ALL,9685,E38000008,117459
06/03/2021,02T,NHS Calderdale CCG,ALL,ALL,14245,E38000025,211455
06/03/2021,02X,NHS Doncaster CCG,ALL,ALL,23000,E38000044,311890
06/03/2021,02Y,NHS East Riding of Yorkshire CCG,ALL,ALL,21865,E38000052,318400
06/03/2021,03A,NHS Greater Huddersfield CCG,ALL,ALL,14370,E38000064,246604
06/03/2021,03F,NHS Hull CCG,ALL,ALL,18505,E38000085,259778
06/03/2021,03H,NHS North East Lincolnshire CCG,ALL,ALL,11025,E38000119,159563
06/03/2021,03J,NHS North Kirklees CCG,ALL,ALL,14555,E38000121,193183
06/03/2021,03K,NHS North Lincolnshire CCG,ALL,ALL,11420,E38000122,172292
06/03/2021,03L,NHS Rotherham CCG,ALL,ALL,18145,E38000141,265411
06/03/2021,03N,NHS Sheffield CCG,ALL,ALL,39400,E38000146,584853
06/03/2021,03Q,NHS Vale of York CCG,ALL,ALL,19970,E38000188,366072
06/03/2021,03R,NHS Wakefield CCG,ALL,ALL,21630,E38000190,348312
06/03/2021,03W,NHS East Leicestershire and Rutland CCG,ALL,ALL,18930,E38000051,338592
06/03/2021,04C,NHS Leicester City CCG,ALL,ALL,29550,E38000097,354224
06/03/2021,04F,NHS Milton Keynes CCG,ALL,ALL,19935,E38000107,275882
06/03/2021,04V,NHS West Leicestershire CCG,ALL,ALL,23190,E38000201,407490
06/03/2021,04Y,NHS Cannock Chase CCG,ALL,ALL,8050,E38000028,137595
06/03/2021,05A,NHS Coventry and Rugby CCG,ALL,ALL,31040,E38000038,480456
06/03/2021,05C,NHS Dudley CCG,ALL,ALL,20085,E38000046,321596
06/03/2021,05D,NHS East Staffordshire CCG,ALL,ALL,8660,E38000053,129944
06/03/2021,05G,NHS North Staffordshire CCG,ALL,ALL,12515,E38000126,219600
06/03/2021,05H,NHS Warwickshire North CCG,ALL,ALL,12485,E38000195,195147
06/03/2021,05L,NHS Sandwell and West Birmingham CCG,ALL,ALL,41280,E38000144,506073
06/03/2021,05N,NHS Shropshire CCG,ALL,ALL,18375,E38000147,323136
06/03/2021,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,ALL,ALL,14355,E38000153,226837
06/03/2021,05R,NHS South Warwickshire CCG,ALL,ALL,16065,E38000164,273851
06/03/2021,05V,NHS Stafford and Surrounds CCG,ALL,ALL,9930,E38000173,157308
06/03/2021,05W,NHS Stoke on Trent CCG,ALL,ALL,20075,E38000175,264651
06/03/2021,05X,NHS Telford and Wrekin CCG,ALL,ALL,10545,E38000183,179854
06/03/2021,05Y,NHS Walsall CCG,ALL,ALL,20225,E38000191,285478
06/03/2021,06A,NHS Wolverhampton CCG,ALL,ALL,20150,E38000210,263357
06/03/2021,06F,NHS Bedfordshire CCG,ALL,ALL,29080,E38000010,461940
06/03/2021,06H,NHS Cambridgeshire and Peterborough CCG,ALL,ALL,56095,E38000026,892627
06/03/2021,06K,NHS East and North Hertfordshire CCG,ALL,ALL,32835,E38000049,571713
06/03/2021,06L,NHS Ipswich and East Suffolk CCG,ALL,ALL,29165,E38000086,411211
06/03/2021,06N,NHS Herts Valleys CCG,ALL,ALL,33570,E38000079,598034
06/03/2021,06P,NHS Luton CCG,ALL,ALL,19230,E38000102,213052
06/03/2021,06Q,NHS Mid Essex CCG,ALL,ALL,23395,E38000106,395918
06/03/2021,06T,NHS North East Essex CCG,ALL,ALL,22010,E38000117,341267
06/03/2021,07G,NHS Thurrock CCG,ALL,ALL,12885,E38000185,174341
06/03/2021,07H,NHS West Essex CCG,ALL,ALL,19925,E38000197,310040
06/03/2021,07K,NHS West Suffolk CCG,ALL,ALL,15325,E38000204,231706
06/03/2021,07L,NHS Barking and Dagenham CCG,ALL,ALL,17625,E38000004,212906
06/03/2021,07P,NHS Brent CCG,ALL,ALL,33435,E38000020,329771
06/03/2021,07T,NHS City and Hackney CCG,ALL,ALL,20920,E38000035,290841
06/03/2021,07W,NHS Ealing CCG,ALL,ALL,35485,E38000048,341806
06/03/2021,07Y,NHS Hounslow CCG,ALL,ALL,29455,E38000084,271523
06/03/2021,08C,NHS Hammersmith and Fulham CCG,ALL,ALL,14575,E38000070,185143
06/03/2021,08E,NHS Harrow CCG,ALL,ALL,21720,E38000074,251160
06/03/2021,08F,NHS Havering CCG,ALL,ALL,15905,E38000077,259552
06/03/2021,08G,NHS Hillingdon CCG,ALL,ALL,24510,E38000082,306870
06/03/2021,08M,NHS Newham CCG,ALL,ALL,33905,E38000113,353134
06/03/2021,08N,NHS Redbridge CCG,ALL,ALL,22660,E38000138,305222
06/03/2021,08V,NHS Tower Hamlets CCG,ALL,ALL,25980,E38000186,324745
06/03/2021,08W,NHS Waltham Forest CCG,ALL,ALL,18560,E38000192,276983
06/03/2021,08Y,NHS West London CCG,ALL,ALL,16080,E38000202,227412
06/03/2021,09A,NHS Central London (Westminster) CCG,ALL,ALL,12180,E38000031,190034
06/03/2021,09D,NHS Brighton and Hove CCG,ALL,ALL,16380,E38000021,290885
06/03/2021,10C,NHS Surrey Heath CCG,ALL,ALL,5335,E38000178,96564
06/03/2021,10J,NHS North Hampshire CCG,ALL,ALL,12780,E38000120,225387
06/03/2021,10K,NHS Fareham and Gosport CCG,ALL,ALL,13015,E38000059,201071
06/03/2021,10L,NHS Isle of Wight CCG,ALL,ALL,10175,E38000087,141771
06/03/2021,10Q,NHS Oxfordshire CCG,ALL,ALL,36020,E38000136,676171
06/03/2021,10R,NHS Portsmouth CCG,ALL,ALL,13770,E38000137,214905
06/03/2021,10V,NHS South Eastern Hampshire CCG,ALL,ALL,15095,E38000154,217701
06/03/2021,10X,NHS Southampton CCG,ALL,ALL,15425,E38000167,252520
06/03/2021,11A,NHS West Hampshire CCG,ALL,ALL,32345,E38000198,570799
06/03/2021,11J,NHS Dorset CCG,ALL,ALL,52180,E38000045,773839
06/03/2021,11M,NHS Gloucestershire CCG,ALL,ALL,39265,E38000062,637070
06/03/2021,11N,NHS Kernow CCG,ALL,ALL,36940,E38000089,571802
06/03/2021,11X,NHS Somerset CCG,ALL,ALL,34795,E38000150,562225
06/03/2021,12F,NHS Wirral CCG,ALL,ALL,23685,E38000208,324011
06/03/2021,13T,NHS Newcastle Gateshead CCG,ALL,ALL,35080,E38000212,504875
06/03/2021,14L,NHS Manchester CCG,ALL,ALL,39075,E38000217,552858
06/03/2021,14Y,NHS Buckinghamshire CCG,ALL,ALL,30245,E38000223,546626
06/03/2021,15A,NHS Berkshire West CCG,ALL,ALL,24645,E38000221,491349
06/03/2021,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",ALL,ALL,56720,E38000222,963522
06/03/2021,15D,NHS East Berkshire CCG,ALL,ALL,26350,E38000224,436701
06/03/2021,15E,NHS Birmingham and Solihull CCG,ALL,ALL,84895,E38000220,1180567
06/03/2021,15F,NHS Leeds CCG,ALL,ALL,54815,E38000225,793139
06/03/2021,15M,NHS Derby and Derbyshire CCG,ALL,ALL,63220,E38000229,1026426
06/03/2021,15N,NHS Devon CCG,ALL,ALL,79835,E38000230,1200739
06/03/2021,16C,NHS Tees Valley CCG,ALL,ALL,50830,E38000247,675944
06/03/2021,18C,NHS Herefordshire and Worcestershire CCG,ALL,ALL,45690,E38000236,788587
06/03/2021,26A,NHS Norfolk and Waveney CCG,ALL,ALL,73500,E38000239,1026193
06/03/2021,27D,NHS Cheshire CCG,ALL,ALL,43775,E38000233,727223
06/03/2021,36J,NHS Bradford District and Craven CCG,ALL,ALL,48430,E38000232,590901
06/03/2021,36L,NHS South West London CCG,ALL,ALL,95450,E38000245,1504810
06/03/2021,42D,NHS North Yorkshire CCG,ALL,ALL,26415,E38000241,428231
06/03/2021,52R,NHS Nottingham and Nottinghamshire CCG,ALL,ALL,67665,E38000243,1043665
06/03/2021,70F,NHS West Sussex CCG,ALL,ALL,58055,E38000248,857166
06/03/2021,71E,NHS Lincolnshire CCG,ALL,ALL,51300,E38000238,761224
06/03/2021,72Q,NHS South East London CCG,ALL,ALL,129010,E38000244,1819271
06/03/2021,78H,NHS Northamptonshire CCG,ALL,ALL,47075,E38000242,736219
06/03/2021,84H,NHS County Durham CCG,ALL,ALL,38525,E38000234,530094
06/03/2021,91Q,NHS Kent and Medway CCG,ALL,ALL,115125,E38000237,1860111
06/03/2021,92A,NHS Surrey Heartlands CCG,ALL,ALL,60485,E38000246,1049170
06/03/2021,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",ALL,ALL,54775,E38000231,921917
06/03/2021,93C,NHS North Central London CCG,ALL,ALL,99705,E38000240,1510806
06/03/2021,97R,NHS East Sussex CCG,ALL,ALL,38430,E38000235,557229
06/03/2021,99A,NHS Liverpool CCG,ALL,ALL,51500,E38000101,498042
06/03/2021,99C,NHS North Tyneside CCG,ALL,ALL,14570,E38000127,207913
06/03/2021,99E,NHS Basildon and Brentwood CCG,ALL,ALL,17310,E38000007,264220
06/03/2021,99F,NHS Castle Point and Rochford CCG,ALL,ALL,12235,E38000030,177744
06/03/2021,99G,NHS Southend CCG,ALL,ALL,12825,E38000168,183125
06/03/2021,99M,NHS North East Hampshire and Farnham CCG,ALL,ALL,12115,E38000118,211709
06/03/2021,00L,NHS Northumberland CCG,Age,0-17,190,E38000130,322434
06/03/2021,00N,NHS South Tyneside CCG,Age,0-17,130,E38000163,150976
06/03/2021,00P,NHS Sunderland CCG,Age,0-17,280,E38000176,277705
06/03/2021,00Q,NHS Blackburn with Darwen CCG,Age,0-17,200,E38000014,149696
06/03/2021,00R,NHS Blackpool CCG,Age,0-17,115,E38000015,139446
06/03/2021,00T,NHS Bolton CCG,Age,0-17,350,E38000016,287550
06/03/2021,00V,NHS Bury CCG,Age,0-17,295,E38000024,190990
06/03/2021,00X,NHS Chorley and South Ribble CCG,Age,0-17,135,E38000034,178547
06/03/2021,00Y,NHS Oldham CCG,Age,0-17,445,E38000135,237110
06/03/2021,01A,NHS East Lancashire CCG,Age,0-17,465,E38000050,382746
06/03/2021,01D,"NHS Heywood, Middleton and Rochdale CCG",Age,0-17,270,E38000080,222412
06/03/2021,01E,NHS Greater Preston CCG,Age,0-17,175,E38000227,203825
06/03/2021,01F,NHS Halton CCG,Age,0-17,95,E38000068,129410
06/03/2021,01G,NHS Salford CCG,Age,0-17,365,E38000143,258834
06/03/2021,01H,NHS North Cumbria CCG,Age,0-17,235,E38000215,319371
06/03/2021,01J,NHS Knowsley CCG,Age,0-17,165,E38000091,150862
06/03/2021,01K,NHS Morecambe Bay CCG,Age,0-17,310,E38000228,332696
06/03/2021,01T,NHS South Sefton CCG,Age,0-17,170,E38000161,160226
06/03/2021,01V,NHS Southport and Formby CCG,Age,0-17,150,E38000170,116184
06/03/2021,01W,NHS Stockport CCG,Age,0-17,340,E38000174,293423
06/03/2021,01X,NHS St Helens CCG,Age,0-17,215,E38000172,180585
06/03/2021,01Y,NHS Tameside and Glossop CCG,Age,0-17,220,E38000182,260063
06/03/2021,02A,NHS Trafford CCG,Age,0-17,355,E38000187,237354
06/03/2021,02E,NHS Warrington CCG,Age,0-17,145,E38000194,210014
06/03/2021,02G,NHS West Lancashire CCG,Age,0-17,110,E38000200,114306
06/03/2021,02H,NHS Wigan Borough CCG,Age,0-17,245,E38000205,328662
06/03/2021,02M,NHS Fylde and Wyre CCG,Age,0-17,210,E38000226,194337
06/03/2021,02P,NHS Barnsley CCG,Age,0-17,335,E38000006,246866
06/03/2021,02Q,NHS Bassetlaw CCG,Age,0-17,125,E38000008,117459
06/03/2021,02T,NHS Calderdale CCG,Age,0-17,200,E38000025,211455
06/03/2021,02X,NHS Doncaster CCG,Age,0-17,305,E38000044,311890
06/03/2021,02Y,NHS East Riding of Yorkshire CCG,Age,0-17,130,E38000052,318400
06/03/2021,03A,NHS Greater Huddersfield CCG,Age,0-17,195,E38000064,246604
06/03/2021,03F,NHS Hull CCG,Age,0-17,200,E38000085,259778
06/03/2021,03H,NHS North East Lincolnshire CCG,Age,0-17,120,E38000119,159563
06/03/2021,03J,NHS North Kirklees CCG,Age,0-17,220,E38000121,193183
06/03/2021,03K,NHS North Lincolnshire CCG,Age,0-17,100,E38000122,172292
06/03/2021,03L,NHS Rotherham CCG,Age,0-17,250,E38000141,265411
06/03/2021,03N,NHS Sheffield CCG,Age,0-17,320,E38000146,584853
06/03/2021,03Q,NHS Vale of York CCG,Age,0-17,175,E38000188,366072
06/03/2021,03R,NHS Wakefield CCG,Age,0-17,315,E38000190,348312
06/03/2021,03W,NHS East Leicestershire and Rutland CCG,Age,0-17,205,E38000051,338592
06/03/2021,04C,NHS Leicester City CCG,Age,0-17,355,E38000097,354224
06/03/2021,04F,NHS Milton Keynes CCG,Age,0-17,545,E38000107,275882
06/03/2021,04V,NHS West Leicestershire CCG,Age,0-17,245,E38000201,407490
06/03/2021,04Y,NHS Cannock Chase CCG,Age,0-17,70,E38000028,137595
06/03/2021,05A,NHS Coventry and Rugby CCG,Age,0-17,455,E38000038,480456
06/03/2021,05C,NHS Dudley CCG,Age,0-17,195,E38000046,321596
06/03/2021,05D,NHS East Staffordshire CCG,Age,0-17,170,E38000053,129944
06/03/2021,05G,NHS North Staffordshire CCG,Age,0-17,175,E38000126,219600
06/03/2021,05H,NHS Warwickshire North CCG,Age,0-17,205,E38000195,195147
06/03/2021,05L,NHS Sandwell and West Birmingham CCG,Age,0-17,415,E38000144,506073
06/03/2021,05N,NHS Shropshire CCG,Age,0-17,155,E38000147,323136
06/03/2021,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,Age,0-17,170,E38000153,226837
06/03/2021,05R,NHS South Warwickshire CCG,Age,0-17,135,E38000164,273851
06/03/2021,05V,NHS Stafford and Surrounds CCG,Age,0-17,80,E38000173,157308
06/03/2021,05W,NHS Stoke on Trent CCG,Age,0-17,285,E38000175,264651
06/03/2021,05X,NHS Telford and Wrekin CCG,Age,0-17,115,E38000183,179854
06/03/2021,05Y,NHS Walsall CCG,Age,0-17,215,E38000191,285478
06/03/2021,06A,NHS Wolverhampton CCG,Age,0-17,130,E38000210,263357
06/03/2021,06F,NHS Bedfordshire CCG,Age,0-17,460,E38000010,461940
06/03/2021,06H,NHS Cambridgeshire and Peterborough CCG,Age,0-17,860,E38000026,892627
06/03/2021,06K,NHS East and North Hertfordshire CCG,Age,0-17,495,E38000049,571713
06/03/2021,06L,NHS Ipswich and East Suffolk CCG,Age,0-17,400,E38000086,411211
06/03/2021,06N,NHS Herts Valleys CCG,Age,0-17,550,E38000079,598034
06/03/2021,06P,NHS Luton CCG,Age,0-17,560,E38000102,213052
06/03/2021,06Q,NHS Mid Essex CCG,Age,0-17,295,E38000106,395918
06/03/2021,06T,NHS North East Essex CCG,Age,0-17,430,E38000117,341267
06/03/2021,07G,NHS Thurrock CCG,Age,0-17,320,E38000185,174341
06/03/2021,07H,NHS West Essex CCG,Age,0-17,375,E38000197,310040
06/03/2021,07K,NHS West Suffolk CCG,Age,0-17,215,E38000204,231706
06/03/2021,07L,NHS Barking and Dagenham CCG,Age,0-17,565,E38000004,212906
06/03/2021,07P,NHS Brent CCG,Age,0-17,840,E38000020,329771
